"","SELLER","cumulative_ttl","680","681","683","684","685","686","687","688","689","690","691","692","693"
"1","Other",229.141170952646,19.6307598696918,20.139247464902,17.7317845351951,17.7189972525416,19.4121976833791,17.2543569375129,17.7982343276,18.5872285550961,17.1236785268944,14.8670315885045,17.1523827646178,14.9514189525064,16.7738524942046
"2","Wells Fargo",211.61973530197,18.6377498913745,19.1166140446725,16.0861922051871,16.4552819896908,18.2095769356833,15.8965759055574,16.2092153356167,16.9020885604758,15.663177816735,13.8185070639525,15.9315252003859,13.4939283131462,15.1993020394926
"3","U.S. Bank N.A.",201.633135079796,17.1621813888064,18.3922607033756,15.3876620932104,14.5111551174758,17.7585476363108,15.8407600025216,15.7487697341419,16.7470243125079,15.573023760937,13.8204990944997,15.1887199328283,11.0821579333748,14.4203733698061
"4","Quicken Loans",200.587882014129,16.9106356206657,17.3909973527249,15.2930160273438,15.2095252901767,16.6304401806025,14.8708676860296,15.0674163020049,16.0384029903445,15.2605456498446,14.1051913815814,15.419332932739,13.0346266465001,15.3568839535711
"5","Loandepot.Com, Llc",191.244786701156,17.5679045951075,18.1472828452004,15.8028369477977,15.8138777454229,17.8740897810132,14.3954896003288,13.6255611831949,13.9708042985343,13.403022345492,13.1082664814203,13.3113311325447,11.9183972397228,12.3059225053765
"6","Amerihome Mortgage Company, LLC",163.021888073364,15.6303354629898,15.8507390756184,12.2596181517835,13.6291821845913,14.4032977784218,12.7938620882062,13.4045317774625,14.2361932884759,12.363080667835,13.3423034029047,12.9645416341284,0,12.1442025609469
"7","Lakeview Loan Servicing, LLC",150.034133841917,15.5015392578139,15.9853640526987,12.9808021172274,13.4980577008043,15.6688355395657,13.6060245661424,13.1558000877247,13.4400910268075,11.2385017770766,0,12.676079399771,0,12.2830383162852
"8","Home Point Financial Corporation",142.888233806299,15.6543127925334,15.6749288314294,13.6363850882384,13.8989330860661,15.9527493163505,0,13.9456621203921,12.8687631959217,12.3238601256211,0,13.275944180597,0,15.6566950691493
"9","PennyMac Corp",139.361429939212,16.5328508720238,17.2520107635059,14.159100971574,14.0426469273605,16.2166733049318,0,12.553205710188,12.5461135070284,12.0951466713995,0,11.7280449090708,0,12.2356363021289
"10","JPMorgan Chase",131.136119296655,14.6462438372065,15.1583756222534,12.3587980243841,12.8610012106691,15.206295073237,0,11.1562648066437,12.7425689400171,11.2118338856085,0,12.7007719361421,0,13.0939659604937
"11","NationStar Mortgage, LLC",129.641229087239,14.2923662828914,14.563146397293,12.4607187398652,13.2428113035283,13.3939175923153,12.6698098064115,0,12.2783979582618,13.0540866779764,11.362114203075,12.3238601256211,0,0
"12","Truist Bank",126.498403963196,15.3889069063909,14.7229627447224,15.0448589611046,14.7273919831174,15.8435273492482,12.1756185926714,13.4209868735729,0,0,0,11.8913687499821,0,13.2827818023863
"13","Freedom Mortgage Corp.",101.717253620784,12.2596181517835,13.1993262703906,12.9527629626836,0,14.4960794626463,12.6854106981752,0,11.9447143748812,12.3371052938919,0,11.8422364063316,0,0
"14","Caliber Home Loans, Inc.",94.5938054442011,14.8894889073207,15.8582882449406,13.7233963655471,11.9829353441964,14.415994602207,12.1909640838494,0,0,0,0,11.5327378961399,0,0
"15","Flagstar Bank, FSB",85.9573391105019,15.8088495368305,16.5346326389661,13.9656540769788,0,14.6392477470167,0,0,13.0013273063611,0,0,12.0076278043487,0,0
"16","Fairway Independent Mortgage Corporation",82.3149780697085,14.9575018891172,15.7493482703776,0,0,14.3490762552098,0,0,12.254867571593,0,11.5424939759025,0,0,13.4616901075084
"17","United Wholesale Mortgage",79.7533130874445,13.6315889217257,15.2579491660529,0,0,14.8568471317953,12.1547846142867,0,12.2258801747751,11.6262630788088,0,0,0,0
"18","NewRez LLC",76.3221643479069,0,14.3217261719452,0,12.3587980243841,13.9784802358597,11.002116507732,0,0,0,0,12.2643462706242,12.3966971373617,0
"19","Ditech Financial Llc",59.2966113016052,12.3587980243841,12.5461135070284,0,11.7752974217158,0,11.2897944135779,11.3266079348989,0,0,0,0,0,0
"20","Movement Mortgage",54.2755532875213,15.0631176865015,15.2780715061799,11.970356641103,0,11.9640074537369,0,0,0,0,0,0,0,0
"21","Cmg Mortgage, Inc",40.0971924048578,14.3420132517826,13.4224694513351,0,0,0,0,0,0,0,0,12.3327097017402,0,0
"22","Provident Funding Associates, L.P.",24.9924951351365,12.4607187398652,12.5317763952713,0,0,0,0,0,0,0,0,0,0,0
"23","Finance Of America Mortgage",12.7425689400171,0,12.7425689400171,0,0,0,0,0,0,0,0,0,0,0
"24","Guild Mortgage Company",11.970356641103,0,11.970356641103,0,0,0,0,0,0,0,0,0,0,0
