"","SELLER","count","bank_sum","default_rt","orig_amt_q1","orig_amt_q2","orig_amt_q3","CSCORE_A_q1","CSCORE_A_q2","CSCORE_A_q3","rt_dev_q1","rt_dev_q2","rt_dev_q3","orig_rt_q1","orig_rt_q2","orig_rt_q3","dti_q1","dti_q2","dti_q3","mkt_share"
"1","Other",2696,453706000,0.95660237388724,114000,152000,210000,733,769,793,0.09,0.225,0.435,3.875,4.125,4.375,26.75,34,41,0.477
"2","Wells Fargo",1090,200456000,0.940366972477064,128000,169000,228000,726,767,794,0.055,0.18,0.37,3.875,4,4.25,28,35,41,0.211
"3","U.S. Bank N.A.",489,66598000,0.899795501022495,107000,130000,157000,717,748,779,-0.15,-0.07,0.33,3.75,3.95,4.25,30,36,41,0.07
"4","Quicken Loans",266,42897000,0.973684210526316,114000,148500,201000,707,749,780,0.1925,0.43,0.6575,3.875,4.125,4.375,28,35,41,0.045
"5","Franklin American Mortgage Company",234,41966000,0.97008547008547,115500,158000,224750,739.25,776.5,796,0.055,0.185,0.35625,3.65625,4.125,4.25,25,32,40,0.044
"6","Pmtt4",131,23964000,0.969465648854962,127500,164000,214000,724.5,762,790,0.05,0.185,0.33,4.125,4.125,4.25,27,33,40,0.025
"7","Flagstar Bank, FSB",140,23125000,0.928571428571429,104750,142000,226250,722.75,769.5,795.25,0.18,0.3545,0.63,3.87375,4.25,4.5,28,35,42,0.024
"8","JPMorgan Chase",98,18049000,0.989795918367347,122500,178000,220750,747.25,779,793.75,0.08,0.185,0.31,3.875,4,4.25,26,35.5,44,0.019
"9","PennyMac Corp",96,15295000,0.958333333333333,112000,139500,189000,720.5,776.5,797,0.05,0.155,0.3525,3.5,4,4.25,24,33,41,0.016
"10","Guild Mortgage Company",71,9631000,0.901408450704225,103500,128000,158000,715.5,739,783,0.235,0.36,0.4725,4.125,4.25,4.375,32,37,43,0.01
"11","Caliber Home Loans, Inc.",55,9047000,0.927272727272727,132500,156000,207000,719,760,788,0.0525,0.185,0.3825,3.875,4.125,4.25,23.5,36,41.5,0.01
"12","NationStar Mortgage, LLC",43,7906000,0.953488372093023,107500,179000,239000,714,754,786.5,0.145,0.245,0.67,4,4.125,4.25,30.5,34,39,0.008
"13","Movement Mortgage",40,6258000,0.95,112000,148000,188750,719.75,757.5,782.25,0.31,0.455,0.62,4.25,4.375,4.53125,35.75,40.5,43.25,0.007
"14","Amerihome Mortgage Company, LLC",26,4567000,0.884615384615385,116250,155000,212000,737.75,756.5,784.5,0.2075,0.425,0.7,4,4.3125,4.625,33,41,44,0.005
"15","Cmg Mortgage, Inc",24,4198000,0.958333333333333,120000,137000,216500,723,756.5,786,0.1775,0.245,0.43,4.125,4.25,4.28125,28.75,37,45.25,0.004
"16","Bvrt Trust",24,3946000,1,128500,153000,177500,731.25,758.5,767,0.23125,0.325,0.5675,4.25,4.375,4.5,25.5,32.5,39.5,0.004
"17","Truist Bank",15,3648000,0.933333333333333,119000,255000,367000,746.5,766,793,-0.0225,0.275,0.7425,3.8125,3.875,4.0625,18,31,41,0.004
"18","Freedom Mortgage Corp.",16,3212000,0.875,153750,180000,242750,700.75,750,780,0.205,0.28,0.51625,4,4.125,4.28125,31.75,37,44.25,0.003
"19","Loandepot.Com, Llc",23,2770000,0.869565217391304,103500,120000,141000,664.5,710,755.5,0.1825,0.47,1.01,3.5625,4.25,4.9375,26.5,37,44,0.003
"20","Ditech Financial Llc",16,2283000,0.875,94000,122000,177000,699.25,709,759.5,0.2375,0.7025,0.96375,3.96125,4.5,4.78125,31.75,39,43,0.002
"21","United Wholesale Mortgage",14,1743000,0.857142857142857,98750,127500,145750,706,742.5,752.25,0.06,0.135,0.22125,4,4,4.34375,32,39.5,43,0.002
"22","Citimortgage, Inc.",9,1280000,1,120000,141000,173000,769,781,813,-0.3,0.23,0.73,3.25,3.875,4.25,20,28,34,0.001
"23","Fairway Independent Mortgage Corporation",6,1021000,1,149500,182000,211500,766.5,786.5,800.5,0.35625,0.465,0.54375,4.28125,4.375,4.5625,32.25,37,46.25,0.001
"24","Stearns Lending, Llc",4,667000,0.75,124250,156500,199000,665.5,710,756.25,0.2775,0.39,0.4925,4.1875,4.375,4.5,33.75,41,48.25,0.001
"25","Homebridge Financial Services, Inc.",3,521000,1,125000,128000,199500,749,781,789,0.35,0.37,0.4275,4.25,4.25,4.4375,28.5,33,36,0.001
"26","Mid America Mortgage, Inc.",3,432000,0.666666666666667,135500,154000,157500,722,723,741.5,0.205,0.225,0.2875,4.125,4.125,4.1875,27,27,38.5,0
"27","Skyline Financial Corp.",3,382000,1,119000,128000,136000,747,749,782,0.27,0.305,0.4325,4.25,4.375,4.4375,30.5,35,37.5,0
"28","Embrace Home Loans, Inc.",1,243000,1,243000,243000,243000,692,692,692,0.995,0.995,0.995,4.875,4.875,4.875,21,21,21,0
"29","Finance Of America Mortgage",1,225000,1,225000,225000,225000,777,777,777,0.045,0.045,0.045,3.875,3.875,3.875,40,40,40,0
"30","Phh Mortgage Corporation",1,171000,1,171000,171000,171000,774,774,774,-0.1,-0.1,-0.1,3.78,3.78,3.78,29,29,29,0
"31","Northpointe Bank",1,57000,1,57000,57000,57000,798,798,798,1.055,1.055,1.055,4.875,4.875,4.875,33,33,33,0
