"","SELLER","count","bank_sum","default_rt","orig_amt_q1","orig_amt_q2","orig_amt_q3","CSCORE_A_q1","CSCORE_A_q2","CSCORE_A_q3","rt_dev_q1","rt_dev_q2","rt_dev_q3","orig_rt_q1","orig_rt_q2","orig_rt_q3","dti_q1","dti_q2","dti_q3","mkt_share"
"1","Other",2398,421809000,0.955379482902419,121000,160000,217750,727,766,792,0.065,0.195,0.405,4.5,4.75,4.875,28,36,43,0.485
"2","Wells Fargo",937,180251000,0.924226254002134,135000,180000,233000,726,768,792,0.045,0.19,0.44,4.5,4.75,4.99,29,37,43,0.207
"3","U.S. Bank N.A.",713,101242000,0.890603085553997,112000,140000,164000,710,740,772,-0.19,-0.04,0.295,4.25,4.5,4.875,32,38,43,0.116
"4","Quicken Loans",236,35827000,0.949152542372881,104000,136500,179250,694,734.5,774,0.09,0.42,0.67125,4.375,4.75,5.02375,30.75,37.5,45,0.041
"5","PennyMac Corp",168,29664000,0.958333333333333,125750,159000,216500,745.75,768,796,-0.16125,0.0725,0.5225,4.375,4.625,5.125,28,35,42,0.034
"6","Flagstar Bank, FSB",106,15269000,0.924528301886792,78500,128000,173750,723,760.5,790.75,0.26,0.45,0.713,4.642,4.929,5.25,32.25,42,46.75,0.018
"7","Franklin American Mortgage Company",59,13108000,0.983050847457627,140500,220000,270500,740,775,791,-0.115,0.045,0.1825,3.875,4.375,4.8125,26.5,33,41,0.015
"8","Freedom Mortgage Corp.",43,9181000,0.976744186046512,158000,194000,244000,718.5,762,780,-0.02,0.085,0.3125,4.5,4.625,4.75,26.5,37,43.5,0.011
"9","Movement Mortgage",51,8645000,0.980392156862745,115000,157000,205000,729.5,751,783,0.105,0.2,0.53,4.625,4.75,5,31.5,36,45.5,0.01
"10","Cmg Mortgage, Inc",46,8122000,0.978260869565217,123500,165500,213750,737.25,766.5,797.25,0.07125,0.1975,0.42625,4.5,4.6875,4.75,26.25,31,36.75,0.009
"11","JPMorgan Chase",39,7460000,0.923076923076923,128000,180000,225500,705,757,783.5,-0.0475,0.06,0.37,4.25,4.5,4.75,29.5,38,44,0.009
"12","Guild Mortgage Company",47,7132000,0.978723404255319,123000,137000,164000,709,739,772,0.295,0.335,0.565,4.6875,4.875,5.125,33.5,41,48,0.008
"13","Pmtt4",35,6932000,0.942857142857143,151000,176000,219000,718.5,752,783.5,-0.24,-0.095,0.2275,4.0625,4.25,4.625,34,41,44.5,0.008
"14","NationStar Mortgage, LLC",30,5138000,0.9,109000,146000,226500,692.25,731,778.5,0.31125,0.5225,0.88375,4.5,4.875,5.4975,36,40.5,47,0.006
"15","Lakeview Loan Servicing, LLC",23,3145000,0.869565217391304,102500,124000,173500,694.5,728,775.5,0.2625,0.405,0.805,4.8125,4.875,5.375,35.5,41,45.5,0.004
"16","Caliber Home Loans, Inc.",18,3129000,1,147500,167500,202750,738.5,761.5,783.25,0.06,0.19,0.5275,4.375,4.4375,4.96875,32.5,36,42.75,0.004
"17","United Wholesale Mortgage",15,2814000,0.933333333333333,136000,150000,244500,723.5,761,778.5,0.106,0.19,0.26,4.6875,4.75,4.9635,36,43,46.5,0.003
"18","Truist Bank",12,2712000,0.916666666666667,190500,212000,240750,737,750.5,776.25,-0.0625,0.1325,0.36625,4.21875,4.5625,4.9925,33.25,37.5,40,0.003
"19","Mid America Mortgage, Inc.",11,2268000,0.909090909090909,150000,160000,226500,696.5,744,780.5,0.02,0.135,0.53,4.125,4.375,4.75,26.5,36,37.5,0.003
"20","Loandepot.Com, Llc",16,2053000,0.875,103250,117000,151500,684.75,747,775.75,0.3775,0.495,0.8675,4.34375,4.625,5.0625,30.5,41,46.25,0.002
"21","Amerihome Mortgage Company, LLC",13,1994000,0.769230769230769,122000,140000,168000,701,759,764,0.31,0.44,0.53,4.75,5.25,5.25,34,40,47,0.002
"22","Fairway Independent Mortgage Corporation",7,1328000,1,138000,150000,237000,749,755,770,0.18,0.23,0.435,4.75,4.75,4.99,26.5,27,42,0.002
"23","Bvrt Trust",4,600000,1,118000,134500,166500,778,784.5,787.5,0.2025,0.3525,0.5075,4.25,4.5625,4.9375,28,31.5,36.75,0.001
"24","Finance Of America Mortgage",2,330000,0,140500,165000,189500,743,754,765,-0.00750000000000001,0.1,0.2075,4.125,4.375,4.625,30.75,34.5,38.25,0
"25","Broker Solutions, Inc. Dba New American Funding",1,114000,1,114000,114000,114000,757,757,757,0.295,0.295,0.295,4.875,4.875,4.875,36,36,36,0
